signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year,scraped_title,scraped_author,scraped_publisher,scraped_place,scraped_year,scraped_ppn,scrape_status
http://diglib.hab.de/drucke/109-27-med-1s/start.htm,109-27-med-1s,"98, 149, 153, 170, 303, 323, 351, 439, 446",,,,,,,"DE SECRETIS || REMEDIIS || LIBER AVT PO||TIVS THESAVRVS, EVO||NYMO GESNERO PHI-||liatro authore.|| ... ACCEDIT IAM RECENS || IACOBI BESSONI GALLI || de absoluta ratione olea et aquas è medica-||mentis simplicibus extrahendi Liber do||ctißimus, nunquam ante hac || in lucem aeditus.|| ... ||","Gessner, Conrad","Geßner, Andreas",Zürich,1554,85749676X,ok
http://diglib.hab.de/drucke/142-3-phys/start.htm,142-3-phys,"36, 38, 39",,,,,,,"Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo","Lulius, Raymundus",Beck,Argentorati,1541,817929320,ok
http://diglib.hab.de/drucke/145-1-phys-2s/start.htm,145-1-phys-2s,15,"Drebbel, Cornelius: Ein kurtzer Tractat von der Natur Der Elementen","Drebbel, Cornelius",Ein kurtzer Tractat von der Natur Der Elementen,,Ein,,Ein kurtzer Tractat von der Natur Der Elementen Und wie sie den Windt/ Regen/ Blitz und Donner verursachen/ und war zu sie nutzen,"Drebbel, Cornelius; [u.a.]",Haestens; [u.a.],Leyden; [u.a.],1608,535824416,ok
http://diglib.hab.de/drucke/153-2-phys/start.htm,153-2-phys,"41, 45, 73, 77, 169, 181, 249","Stoltzius von Stoltzenberg, Daniel: Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat - Francofurti : Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat",Francofurti,Viridarium,1624,"Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis
							picturis illustratum. Ita ut non tantum oculorum & animi
							recreationem suppeditet, sed & profundiorem rerum naturalium
							considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire
							queat. Ita ut non tantum oculorum & animi recreationem suppeditet,
							sed & profundiorem rerum naturalium considerationem excitet, adhaec
							formasua oblonga Amicorum Albo insevire queat. Ita ut non tantum
							oculorum & animi recreationem suppeditet, sed & profundiorem
							rerum naturalium considerationem excitet, adhaec formasua oblonga
							Amicorum Albo insevire queat","Stoltzius von Stoltzenberg, Daniel; [u.a.]",Jennisius; [u.a.],Francofurti; [u.a.],1624,535513283,ok
http://diglib.hab.de/drucke/18-phys-2f/start.htm,18-phys-2f,"184, 185, 218, 219",,,,,,,Bericht/ Vom Bergkwerck. Wie man dieselben Bawen/ und in guten Wolstandt bringen soll/ sampt allen darzu gehörigen Arbeiten/ Ordnung und rechtlichen Proceß. Wie man dieselben Bawen/ und in guten Wolstandt bringen soll/ sampt allen darzu gehörigen Arbeiten/ Ordnung und rechtlichen Proceß. Wie man dieselben Bawen/ und in guten Wolstandt bringen soll/ sampt allen darzu gehörigen Arbeiten/ Ordnung und rechtlichen Proceß,"Löhneyß, Georg Engelhard; [u.a.]",[Löhneysen]; [u.a.],Zellerfeldt; [u.a.],1617,535516789,ok
http://diglib.hab.de/drucke/196-quod-1s/start.htm,196-quod-1s,43,,,,,,,,,,,,,no_tei_xml
http://diglib.hab.de/drucke/218-9-quod-11s/start.htm,218-9-quod-11s,1,,,,,,,,,,,,,no_tei_xml
http://diglib.hab.de/drucke/218-quod-1s/start.htm,218-quod-1s,"3, 40, 43, 69, 78",,,,,,,"Tripus Aureus, Hoc est, Tres Tractatus Chymici Selectissimi. Nempe I. Basilii Valentini ... Practica ... II. Thomae Nortoni ... Crede Mihi seu Ordinale ... nunc ex Anglicano manuscripto in Latinum translatum ... III. Cremeri Cuiusdam Abbatis Westmonasteriensis Angli Testamentum .... Nempe I. Basilii Valentini ... Practica ... II. Thomae Nortoni ... Crede Mihi seu Ordinale ... nunc ex Anglicano manuscripto in Latinum translatum ... III. Cremeri Cuiusdam Abbatis Westmonasteriensis Angli Testamentum .... Nempe I. Basilii Valentini ... Practica ... II. Thomae Nortoni ... Crede Mihi seu Ordinale ... nunc ex Anglicano manuscripto in Latinum translatum ... III. Cremeri Cuiusdam Abbatis Westmonasteriensis Angli Testamentum ...",,Iennis; [u.a.],Francofurti; [u.a.],1618,092109969,ok
http://diglib.hab.de/drucke/24-1-med/start.htm,24-1-med,"5, 491, 492","Croll, Oswald [u. a.]: Hermetischer Probier Stein","Croll, Oswald [u. a.]",Hermetischer Probier Stein,,Hermetischer,,Hermetischer Probier Stein. Darauff nicht allein alle und jede in deß Oswaldi Grollii intitulirten Alchymistischen Königlichen Kleynod befindliche process und Chymische Artzneyen examiniret und auff die Prob gesetzet/ sondern dieselbe auch mit unterschiedlichen andern schönen und nützlichen durch selbst eygnen Handgriff und tägliche Erfahrung approbirten Artzneyen vor diesem in Lateinischer Sprach vermehret und verbessert worden. Darauff nicht allein alle und jede in deß Oswaldi Grollii intitulirten Alchymistischen Königlichen Kleynod befindliche process und Chymische Artzneyen examiniret und auff die Prob gesetzet/ sondern dieselbe auch mit unterschiedlichen andern schönen und nützlichen durch selbst eygnen Handgriff und tägliche Erfahrung approbirten Artzneyen vor diesem in Lateinischer Sprach vermehret und verbessert worden. Darauff nicht allein alle und jede in deß Oswaldi Grollii intitulirten Alchymistischen Königlichen Kleynod befindliche process und Chymische Artzneyen examiniret und auff die Prob gesetzet/ sondern dieselbe auch mit unterschiedlichen andern schönen und nützlichen durch selbst eygnen Handgriff und tägliche Erfahrung approbirten Artzneyen vor diesem in Lateinischer Sprach vermehret und verbessert worden,"Croll, Oswald; [u.a.]",Schönwetter; [u.a.],Franckfurt am Mayn; [u.a.],1647,535631162,ok
http://diglib.hab.de/drucke/26-8-med-2s/start.htm,26-8-med-2s,"26, 33, 47, 50, 154",,,,,,,"Hieronymi Rvbei Ravenn. De Destillatione Liber. In quo Stillatitiorum liquorum, qui ad medicinam faciunt, methodus ac vires explicantur: Et Chemic[a]e artis veritas, ratione, & experimento comprobatur","Rubeus, Hieronymus",Thebaldini,Ravennae,1582,813121841,ok
