source_id,source_collection,source_file,dataset_split,short_title,short_title_inferred,long_title,bibliographic_description,author_original,author_scraped,author_manual,author_resolved,author_normalized,author_normalized_inferred,author_likely_identical_shared,year_original,year_scraped,year_manual,year_resolved,year_normalized,decade,century,publisher_original,publisher_scraped,publisher_manual,publisher_resolved,publisher_normalized,publisher_normalized_inferred,publisher_likely_identical_shared,place_original,place_scraped,place_manual,place_resolved,place_normalized,place_normalized_inferred,language_original,language_normalized,language_inferred,short_title_likely_identical_shared,likely_identical_notes,normalization_notes_inferred,url,signature,signature_link,scraped_ppn,scrape_status,page_numbers_included,pages_included_count,pdf_total_pages,comments,metadata_completeness
Ficino1509-LiberDeArte,CHR2023,CHR2023-corpus-train,train,Liber de arte distulandi ,Liber de arte distillandi simplicia et composita,"Liber de arte distulandi Simplicia et Composita. Das nüv Buch d[er] rechtẽ kunst zů distillierẽ. Ouch võ Marsilio Ficino vñ anderẽ hochberömptẽ Ertzte natürliche vñ gůte kunst, zu behaltẽ den gesunden leib vñ zů vertreibẽ die kranckheitẽ mit erlengerũg des lebẽs",,"Ficinus, Marsilius",,,"Ficinus, Marsilius",Marsilius Ficinus,Marsilio Ficino,,1509,,,1509,1509,1500s,16th c.,Johan Grüniger,,,Johan Grüniger,Johan Grüniger,Johann Grüninger,,Straßburg / Strasbourg,,,Straßburg / Strasbourg,Strasbourg,Strasbourg/Strassburg,DE,German,German + Latin,Liber de arte distillandi simplicia,short-title/work variant grouped with cognate edition/translation,author normalisation/attribution suggested; publisher normalisation suggested; place normalisation suggested; short title inferred from opening segment,http://data.onb.ac.at/rep/10A81A42 ,,,,,,,397,"anfangs Destillationsgeräte, dann Pflanzen, ähnelt stark Brunschwig (falsche Verschlagwortung?) - habe ich aber jetzt nicht näher überprüft ",complete
Brunschwig1512-DeArteDistillandi,CHR2023,CHR2023-corpus-train,train,Liber de arte distillandi,Liber de arte distillandi de compositis,Liber de arte distillandi de compositis. Das buch der waren kunst zu distilliren die Composita vnd simplicia (etc.),,"Brunschwig, Hieronymus",,,"Brunschwig, Hieronymus",Hieronymus Brunschwig,Hieronymus Brunschwig,,1512,,,1512,1512,1510s,16th c.,Johann Grüninger,,,Johann Grüninger,Johann Grüninger,Johann Grüninger,,Straßburg / Strasbourg,,,Straßburg / Strasbourg,Strasbourg,Strasbourg/Strassburg,DE,German,German + Latin,Liber de arte distillandi de compositis,,place normalisation suggested,http://data.onb.ac.at/rep/109559D1 ,,,,,,,719,"Destillationsgeräte und Öfen (mehr als andere Brunschwig Bände), dafür keine Pflanzen ",complete
52-med-4s,HAB,hab-dataset-img-metadata,,Liber mineralium,Liber mineralium,"LIBER MINERALI/||um Domini Alberti Magni/Alemanni/ ex Lau=||gingen oriundus, Ratisponensis Ecclesie || Episcopus, Vir in Diuinis scripturis || Doctissimus, & in Secularis Phi||losophie Sc~ia Peritissimus || ... ||",,,"<Magnus>,",,"<Magnus>,",Magnus,Albertus Magnus,,,1518,,1518,1518,1510s,16th c.,,"Köbel, Jakob",,"Köbel, Jakob","Köbel, Jakob","Köbel, Jakob",,,Oppenheim,,Oppenheim,Oppenheim,Oppenheim,,Latin,Latin,,,author normalisation/attribution suggested; title contains OCR/line-break artefacts,http://diglib.hab.de/drucke/52-med-4s/start.htm,52-med-4s,http://diglib.hab.de/drucke/52-med-4s/start.htm,817156895,ok,2,1,,,complete
n-96-4f-helmst-6s,HAB,hab-dataset-img-metadata,,Von den usz gebrenten Wassern,Von den usz gebrenten Wassern,VOn den vsz gebrenten wassern || Ein güts nützlichs buchlyn. Jn wölcher maß || man die zu den glydern nützen vnd bruch~e soll/|| als dann meyster Michel Schrick doctor || der ertzney die d~e mensch~e beschrib~e hat.||,,,"Schrick, Michael",,"Schrick, Michael",Michael Schrick,Michael Schrick,,,1519,,1519,1519,1510s,16th c.,,"Knobloch, Johann d.Ä.",,"Knobloch, Johann d.Ä.","Knobloch, Johann d.Ä","Knobloch, Johann d.Ä",,,Straßburg,,Straßburg,Strasbourg,Strasbourg/Strassburg,,German,German,,,place normalisation suggested; title contains OCR/line-break artefacts,http://diglib.hab.de/drucke/n-96-4f-helmst-6s/start.htm,n-96-4f-helmst-6s,http://diglib.hab.de/drucke/n-96-4f-helmst-6s/start.htm,817547517,ok,1,1,,,complete
Brunschwig1527-DistillationEN,CHR2023,CHR2023-corpus-train,train,Brunschwig distyllacyon EN,The vertuose boke of distyllacyon," The vertuose boke of distyllacyon of the waters of all maner of herbes ?with the fygures of the styllatoryes /fyrst made and compyled by the thyrte yeres study and labour of the moste conynge and famous master of phisyke Master Jherom Bruynswyke ; and now newly translate out of Duyche into Englysshe, not only to the synguler helpe and profyte of the surgyens, phisycyens and apothecaryes, but also of all maner of people parfytely and in dewe tyme and ordre to lerne to dystyll all maner of herbes to the profit, cure, & remedy of all maner dysieases and infirmytees apparant and nat apparant, and ye shall understande that the waters be better than the herbes as Avicenna testefyeth in his fourth canon saynge that all maner medicynes used with theyr substance febleth and maketh aged and weke.",,"Brunschwig, Hieronymus",,,"Brunschwig, Hieronymus",Hieronymus Brunschwig,Hieronymus Brunschwig,,1527,,,1527,1527,1520s,16th c.,Laurens Andrewe,,,Laurens Andrewe,Laurens Andrewe,Laurens Andrewe,,London,,,London,London,London,EN,English,English,Liber de arte distillandi simplicia,short-title/work variant grouped with cognate edition/translation,title contains OCR/line-break artefacts; short title inferred from opening segment,https://archive.org/details/mobot31753000816063/page/n30/mode/thumb,,,,,,,275,"Anfangs Destillationsapparatus, dann Pflanzen, die Stiche (oder Holzschnitte) wurden vermutlich für die EN Version neu genacht, sehen aber auf den ersten Blick von den Bildern her recht ähnlich aus ",complete
mf-4f-3,HAB,hab-dataset-img-metadata,,Das nüwe distilier buoch der rechte[n] kunst z°u distilieren vnd auch darzü die wasser zü brennen/,Das nüwe distilier buoch der rechte[n] kunst z°u distilieren vnd auch darzü die wasser zü brennen/,Das nüwe distilier buoch|| der rechte[n] kunst z°u distilieren vnd auch darzü|| die wasser zü brennen/. mit figuren ange zöget||. mit figuren ange zöget||,,,"Brunschweick, Jheronimus",,"Brunschweick, Jheronimus",Jheronimus Brunschweick,Hieronymus Brunschwig,,,1528,,1528,1528,1520s,16th c.,,Grüninger,,Grüninger,Grüninger,Johann Grüninger,,,Straßburg,,Straßburg,Strasbourg,Strasbourg/Strassburg,,German,German,Das nüwe distilier buoch / Distilierbuch,short-title/work variant grouped with cognate edition/translation,author normalisation/attribution suggested; publisher normalisation suggested; place normalisation suggested; title contains OCR/line-break artefacts,http://diglib.hab.de/drucke/mf-4f-3/start.htm,mf-4f-3,http://diglib.hab.de/drucke/mf-4f-3/start.htm,817548084,ok,"5, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29, 36, 52, 312",15,,,complete
218-9-quod-11s,HAB,hab-dataset-img-metadata,,Von gebrannten Wassern,Von gebrannten Wassern,Von allen geprenten wassern/ in welicher maß man die nützen vnd gebrauchen sol/ zu gesundtheit vnd fristung der gebrechen der menschen,,,,Michael Schrick,Michael Schrick,Michael Schrick,Michael Schrick,Michael Schrick,,,1530,1530,1530,1530s,16th c.,,,Jobst Gutknecht,Jobst Gutknecht,Jobst Gutknecht,Jobst Gutknecht,,,,Nuremberg,Nuremberg,Nuremberg,Nuremberg,,German,German,Von gebrannten Wassern,Same textual tradition as other Schrick/Brunschwig distillation books,Early New High German; spelling normalised; matches Schrick distillation tradition; manually researched,http://diglib.hab.de/drucke/218-9-quod-11s/start.htm,218-9-quod-11s,http://diglib.hab.de/drucke/218-9-quod-11s/start.htm,,no_tei_xml,1,1,,,complete
47-phys-2f,HAB,hab-dataset-img-metadata,,Das buoch geberi Des hochberümpten Phylosophy vonn der verborgenheyt der Alchimia/ kützlich in dreyer bücher getheylt/ vnd geschiklicher weiß eroffnet/ dise kunst wie sye zu er erg,Das buoch geberi Des hochberümpten Phylosophy vonn der verborgenheyt der Alchimia/ kützlich in dreyer bücher getheylt/ vnd geschiklicher weiß eroffnet/ dise kunst wie sye zu er erg,"Das buoch geberi || Des hochberümpten Phylosophy || vonn der verborgenheyt der Alchimia/ kützlich in dreyer bücher || getheylt/ vnd geschiklicher weiß eroffnet/ dise kunst wie sye zu er||ergründenn oder zu fynden sy.|| Auch dreyen hochuerstenlichen || wörterenn dise loblich kunst auß trukende.||[v.Kh?lid ibn Yaz~id, al-Umaw~i] Auch ein epistel des Keysers Alexandri/|| der erst erfarende/ in Gretia Mace=||donia vnnd Persia regniert hat ||",Ğābir Ibn-Ḥaiyān: Das Buoch vonn der Verborgenheyt der Alchimia,Ğābir Ibn-Ḥaiyān,,,Ğābir Ibn-Ḥaiyān,Ğābir Ibn-Ḥaiyān,Pseudo-Geber (trad. Ğābir ibn Ḥayyān),Pseudo-Geber,,1530,,1530,1530,1530s,16th c.,Das,"Farckall, Amandus",,"Farckall, Amandus","Farckall, Amandus","Farckall, Amandus",,,Straßburg,,Straßburg,Strasbourg,Strasbourg/Strassburg,,German,German,,"author variant in dataset: Pseudo-Geber, Pseudo-Geber (trad. Ğābir ibn Ḥayyān)",author normalisation/attribution suggested; place normalisation suggested; title contains OCR/line-break artefacts; short title inferred from opening segment,http://diglib.hab.de/drucke/47-phys-2f/start.htm,47-phys-2f,http://diglib.hab.de/drucke/47-phys-2f/start.htm,828680752,ok,"5, 42, 45, 52, 55, 56, 58, 60, 63, 135",10,,,complete
Kreuterbuch1536,CHR2023,CHR2023-corpus-eval,eval,Kreuterbuch,"Kreuterbuch, von aller Kreuter, Gethier, Gesteine vnd Metal, Natur, nutz, vnnd gebrauch","Kreuterbuch, von aller Kreuter, Gethier, Gesteine vnd Metal, Natur, nutz, vnnd gebrauch. Mitt aller derenn leblicher Abconterfeytunge [zusammengetr. von Johan Cuba]. Distillier Zeug vnd Bericht, Allerhandt Kostbarliche Wasser zubrennen, halten vnd gebrauchen [von Hieronymus Braunschweig]",,"Rößlin, Eucharius &  Cuba, Johannes <<von>>",,,"Rößlin, Eucharius &  Cuba, Johannes <<von>>",Eucharius Rößlin; Johannes von Cuba,Eucharius Rößlin; Johannes von Cuba,,1536,,,1536,1536,1530s,16th c.,Egenolff,,,Egenolff,Egenolff,Egenolff,Christian Egenolff / Egenolff heirs,"Franckenfurt, am Meyn / Frankfurt am Main",,,"Franckenfurt, am Meyn / Frankfurt am Main",Frankfurt am Main,Frankfurt am Main,DE,German,German,,"publisher variant in dataset: Egenolff, Christian Egenolff, Christian Egenolff Erben, Christian Egenolffs Erben",short title inferred from opening segment, http://data.onb.ac.at/rep/109E61B8 ,,,,,,,339,"Viele Bilder von Kräutern, Tieren, Plfanzen und einigen Destillationsapparaturen am Anfang ",complete
Ortus1536-DE,CHR2023,CHR2023-corpus-eval,eval,Gart der Gesuntheit,"Gart der gesuntheit Zů latein, Hortvs Sanitatis","
Gart der gesuntheit Zů latein, Hortvs Sanitatis. Sagt in vier Bücheren ... Jm Ersten. Von Vierfüßigen vnd Krichenden thierẽ Jm Anderen. Von Vöglein vnd den Fliegenden thierẽ ...",,"Cuba, Johannes <<von>>",,,"Cuba, Johannes <<von>>",Johannes von Cuba,Johannes von Cuba,,1536,,,1536,1536,1530s,16th c.,Mathia Apiario,,,Mathia Apiario,Mathia Apiario,Mathia Apiario,,Straßburg / Strasbourg ,,,Straßburg / Strasbourg,Strasbourg,Strasbourg/Strassburg,DE,German,German,Hortus/Ortus sanitatis,short-title/work variant grouped with cognate edition/translation,place normalisation suggested; title contains OCR/line-break artefacts,http://data.onb.ac.at/rep/108C96EA,,,,,,,309,"Andere Abbildungen als in der lateinischen Version, aber auch hier wohl gegen Ende laborartige Darstellungen",complete
