field,source_id,short_title,normalized,inferred (ChatGPT),likely_identical_shared
author,Ficino1509-LiberDeArte,Liber de arte distulandi ,Marsilius Ficinus,Marsilio Ficino,
author,52-med-4s,Liber mineralium,Magnus,Albertus Magnus,
author,mf-4f-3,Das nüwe distilier buoch der rechte[n] kunst z°u distilieren vnd auch darzü die wasser zü brennen/,Jheronimus Brunschweick,Hieronymus Brunschwig,
author,47-phys-2f,Das buoch geberi Des hochberümpten Phylosophy vonn der verborgenheyt der Alchimia/ kützlich in dreyer bücher getheylt/ vnd geschiklicher weiß eroffnet/ dise kunst wie sye zu er erg,Ğābir Ibn-Ḥaiyān,Pseudo-Geber (trad. Ğābir ibn Ḥayyān),Pseudo-Geber
author,142-3-phys,"Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo",Raymundus Lulius,Pseudo-Lull (Raymundus Lullius attribution),
author,Distilierbuch1545,Das new groß Distillier Buch,Walther Hermann (Brunschwig?) Ryff,Walther Hermann Ryff,
author,35-1-phys-2f-1s,Coelum Philosophorum,Philippus Ulstadius,Philippus Ulstad,Philippus Ulstad
author,Distilierbuch1556,New groß distillier-Buch,Walther Hermann (Brunschwig?) Ryff,Walther Hermann Ryff,
author,Campesii1572-Coelum,Coelum philosophorum,Philipp Ulsted; Johannes Antonius et al.,Philippus Ulstad; Johannes Antonius Campesius; Arnaldus de Villanova,Philippus Ulstad
author,46-med-4s,Examen Fucorum Pseudo-Chymicorum Detectorum Et In Gratiam Veritatis Amantium succincte refutatorum,Michael Maierus,Michael Maier,Michael Maier
author,29-2-med-2f,"Chirurgische Bücher und Schrifften/ deß Edelen/ Hochgelehrten unnd Bewehrten Philosophi und Medici, Philippi Theophrasti Bombast/ von Hohenheim/ Paracelsi genandt",Philippus Theophrastus Bombast von Hohenheim,Paracelsus,Paracelsus
author,89-4-quod-2f-1s,Philosophia Moysaica,Robert Flud,Robert Fludd,Robert Fludd
author,xb-88-1,Johannis Rudolphi Glauberi Philosophi &amp; Medici Celeberrimi Opera Chymica,Johannes Rudolphus Glauberus,Johann Rudolph Glauber,Johann Rudolph Glauber
author,na-2f-3-1,Athanasii Kircheri E Soc,Athanasius Kircherus,Athanasius Kircher,Athanasius Kircher
author,na-2f-3-2,Athanasii Kicheri E Soc,Athanasius Kircherus,Athanasius Kircher,Athanasius Kircher
author,xb-9206-1b,"Des Vortrefflichen Herren Johann Baptista Portae von Neapolis Magia Naturalis, oder Haus- Kunst- und Wunder-Buch",Johann Baptista Porta,Giambattista della Porta,Giambattista della Porta
place,Ficino1509-LiberDeArte,Liber de arte distulandi ,Strasbourg,Strasbourg/Strassburg,
place,Brunschwig1512-DeArteDistillandi,Liber de arte distillandi,Strasbourg,Strasbourg/Strassburg,
place,n-96-4f-helmst-6s,Von den usz gebrenten Wassern,Strasbourg,Strasbourg/Strassburg,
place,mf-4f-3,Das nüwe distilier buoch der rechte[n] kunst z°u distilieren vnd auch darzü die wasser zü brennen/,Strasbourg,Strasbourg/Strassburg,
place,47-phys-2f,Das buoch geberi Des hochberümpten Phylosophy vonn der verborgenheyt der Alchimia/ kützlich in dreyer bücher getheylt/ vnd geschiklicher weiß eroffnet/ dise kunst wie sye zu er erg,Strasbourg,Strasbourg/Strassburg,
place,Ortus1536-DE,Gart der Gesuntheit,Strasbourg,Strasbourg/Strassburg,
place,142-3-phys,"Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo",Strasbourg,Strasbourg/Strassburg,
place,109-27-med-1s,"DE SECRETIS REMEDIIS LIBER AVT PO TIVS THESAVRVS, EVO NYMO GESNERO PHI- liatro authore",Zurich,Zürich,
place,46-2-med-1s,"MEDICI LIBELLI, Des hocherfarnesten Herrn THEOPHRASTI PARACEL= SI, beyder Artzeney Doctoris/ vorhin niemals in Truck aus- gangen. Physionomia morborum. De Terebinthina & vtroq; Hel",Cologne,Köln,
