IconClass link,IconClass nr,HAB category images link, category,categoryShorttitle
http://iconclass.org/rkd/49E393/, 49 E 39 3,http://arkyves.org/HIM/HAB?language=de&notation=49E393, alchemistische Gerätschaften,alchemicalObjects
http://iconclass.org/rkd/49E3931/, 49 E 39 31,http://arkyves.org/HIM/HAB?language=de&notation=49E3931, alchemistischen Gefäße,alchemicalInstruments
http://iconclass.org/rkd/49E39311/, 49 E 39 31 1,http://arkyves.org/HIM/HAB?language=de&notation=49E39311, Flaschen und flaschenähnliche Gefäße (ampullae),ampullae
http://iconclass.org/rkd/49E39311%28OVUM%20PHILOSOPHICUM%29/, 49 E 39 31 1 (OVUM PHILOSOPHICUM),http://arkyves.org/HIM/HAB?language=de&notation=49E39311%28OVUM%20PHILOSOPHICUM%29, Flasche: Philosophisches Ei (ovum philosophicum),ovum
http://iconclass.org/rkd/49E39311(PELICAN)/, 49 E 39 31 1 (PELICAN),http://arkyves.org/HIM/HAB?language=de&notation=49E39311(PELICAN), Pelikan (verschlossenes doppelbauchiges Gefäß mit seitlichen Rohren),pelican
http://iconclass.org/rkd/49E39311(PHIAL)/, 49 E 39 31 1 (PHIAL),http://arkyves.org/HIM/HAB?language=de&notation=49E39311(PHIAL), Flaschen und flaschenähnliche Gefäße,phial
http://iconclass.org/rkd/49E39311(RECEPTACULUM)/, 49 E 39 31 1 (RECEPTACULUM),http://arkyves.org/HIM/HAB?language=de&notation=49E39311(RECEPTACULUM), Flaschen und flaschenähnliche Gefäße,receptaculum
http://iconclass.org/rkd/49E39312/, 49 E 39 31 2,http://arkyves.org/HIM/HAB?language=de&notation=49E39312, Kolben (cucurbitae),cucurbitae
http://iconclass.org/rkd/49E39312(ALEMBIC)/, 49 E 39 31 2 (ALEMBIC),http://arkyves.org/HIM/HAB?language=de&notation=49E39312(ALEMBIC),  ,alembics
http://iconclass.org/rkd/49E39312(MOOR'SHEAD)/, 49 E 39 31 2 (MOOR'S HEAD),http://arkyves.org/HIM/HAB?language=de&notation=49E39312(MOOR'SHEAD),  ,moorshead
http://iconclass.org/rkd/49E39312(OPERCULUM)/, 49 E 39 31 2 (OPERCULUM),http://arkyves.org/HIM/HAB?language=de&notation=49E39312(OPERCULUM),  ,operculum
http://iconclass.org/rkd/49E39312(RETORT)/, 49 E 39 31 2 (RETORT),http://arkyves.org/HIM/HAB?language=de&notation=49E39312(RETORT), Kolben,retorts
http://iconclass.org/rkd/49E39312(ROSENHUT)/, 49 E 39 31 2 (ROSENHUT),http://arkyves.org/HIM/HAB?language=de&notation=49E39312(ROSENHUT),  ,rosenhut
http://iconclass.org/rkd/49E39313/, 49 E 39 31 3,http://arkyves.org/HIM/HAB?language=de&notation=49E39313, Töpfe Krüge (ollae),ollae
http://iconclass.org/rkd/49E39313(CUPEL)/, 49 E 39 31 3 (CUPEL),http://arkyves.org/HIM/HAB?language=de&notation=49E39313(CUPEL), Kupelle,cupel
http://iconclass.org/rkd/49E39313(CHALICE)/, 49 E 39 31 3 (CHALICE),http://arkyves.org/HIM/HAB?language=de&notation=49E39313(CHALICE), Kelch,chalice
http://iconclass.org/rkd/49E39313(CRUCIBLE)/, 49 E 39 31 3 (CRUCIBLE),http://arkyves.org/HIM/HAB?language=de&notation=49E39313(CRUCIBLE), Tiegel,crucible
http://iconclass.org/rkd/49E39313(ALUDEL)/, 49 E 39 31 3 (ALUDEL),http://arkyves.org/HIM/HAB?language=de&notation=49E39313(ALUDEL),  ,aludel
http://iconclass.org/rkd/49E3932/, 49 E 39 32,http://arkyves.org/HIM/HAB?language=de&notation=49E3932, alchemistischer Ofen,furnace
http://iconclass.org/rkd/49E3932(ASSAY FURNACE)/, 49 E 39 32 (ASSAY FURNACE),http://arkyves.org/HIM/HAB?language=de&notation=49E3932(ASSAY FURNACE), Probierofen,assayFurnace
http://iconclass.org/rkd/49E3932(ATHANOR)/, 49 E 39 32 (ATHANOR),http://arkyves.org/HIM/HAB?language=de&notation=49E3932(ATHANOR), Athanor,athanor
http://iconclass.org/rkd/49E3932(CARBURIZING FURNACE)/, 49 E 39 32 (CARBURIZING FURNACE),http://arkyves.org/HIM/HAB?language=de&notation=49E3932(CARBURIZING FURNACE),  ,carburizingFurnace
http://iconclass.org/rkd/49E3932(REVERBERATORY FURNACE)/, 49 E 39 32 (REVERBERATORY FURNACE),http://arkyves.org/HIM/HAB?language=de&notation=49E3932(REVERBERATORY FURNACE),  ,reverbartoryFurnace
http://iconclass.org/rkd/49E3932(SMELTING FURNACE)/, 49 E 39 32 (SMELTING FURNACE),http://arkyves.org/HIM/HAB?language=de&notation=49E3932(SMELTING FURNACE),  ,smeltingFurnace
http://iconclass.org/rkd/49E3933/, 49 E 39 33,http://arkyves.org/HIM/HAB?language=de&notation=49E3933, alchemistisches Bad (balneum),balneum
http://iconclass.org/rkd/49E3933(BALNEUM MARIAE)/, 49 E 39 33 (BALNEUM MARIAE),http://arkyves.org/HIM/HAB?language=de&notation=49E3933(BALNEUM MARIAE),  ,balneumMariae
http://iconclass.org/rkd/49E3939/, 49 E 39 39,http://arkyves.org/HIM/HAB?language=de&notation=49E3939, andere alchemistische Gerätschaften,otherAlchemicalTools
,,,,
,,,,
http://iconclass.org/rkd/49E3939%28...%29/, 49 E 39 39 (...),http://arkyves.org/HIM/HAB?language=de&notation=49E3939%28...%29, andere alchemistische Gerätschaften (mit Namen),
