signature_link,signature,page_numbers_included,bibliographic_description,author,title,shorttitle,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/109-27-med-1s/start.htm,109-27-med-1s,"98, 149, 153, 170, 303, 323, 351, 439, 446","Zürich: Geßner, Andreas, 1554","Gessner, Conrad","DE SECRETIS REMEDIIS LIBER AVT POTIVS THESAVRVS, EVONYMO GESNERO PHIliatro authore. ... ACCEDIT IAM RECENS IACOBI BESSONI GALLI de absoluta ratione olea et aquas è medicamentis simplicibus extrahendi Liber doctißimus, nunquam ante hac in lucem aeditus. ...",De Secretis Remediis,Zürich / Zurich,"Geßner, Andreas",1554
http://diglib.hab.de/drucke/142-3-phys/start.htm,142-3-phys,"36, 38, 39","Argentorati: Beck, 1541","Lulius, Raymundus","Raimvndi Lvlii Maiorici Philosophi acutissimi, mediciq[ue] celeberrimi, De Secretis naturæ siue Quinta essentia libri duo",De Secretis naturæ,Argentorati / Strasbourg,Beck,1541
http://diglib.hab.de/drucke/145-1-phys-2s/start.htm,145-1-phys-2s,15,"Leyden: Haestens, 1608","Drebbel, Cornelius",Ein kurtzer Tractat von der Natur Der Elementen Und wie sie den Windt/ Regen/ Blitz und Donner verursachen/ und war zu sie nutzen,Tractat von der Natur Der Elementen,Leyden / Leiden,Haestens,1608
http://diglib.hab.de/drucke/153-2-phys/start.htm,153-2-phys,"41, 45, 73, 77, 169, 181, 249","Francofurti: Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum...",Viridarium Chymicum,Francofurti / Frankfurt,Jennisius,1624
http://diglib.hab.de/drucke/18-phys-2f/start.htm,18-phys-2f,"184, 185, 218, 219","Zellerfeldt: [Löhneysen], 1617","Löhneyß, Georg Engelhard",Bericht/ Vom Bergkwerck...,Bericht Vom Bergkwerck,Zellerfeldt / Zellerfeld,[Löhneysen],1617
http://diglib.hab.de/drucke/196-quod-1s/start.htm,196-quod-1s,43,"Oppenheimii : de Bry ; Oppenheimii : Gallerus, 1618","Maier, Michael","Atalanta Fugiens, hoc est, Emblemata Nova De Secretis Naturae Chymica...",Atalanta Fugiens,Oppenheimii / Oppenheim,de Bry ; Gallerus,1618
http://diglib.hab.de/drucke/218-9-quod-11s/start.htm,218-9-quod-11s,1,"Nürnberg : Gutknecht, Jobst, 1530","Schrick, Michael",[Von allen geprenten Wassern] Von allen geprenten wassern...,Von allen geprenten Wassern,Nürnberg / Nuremberg,"Gutknecht, Jobst",1530
http://diglib.hab.de/drucke/218-quod-1s/start.htm,218-quod-1s,"3, 40, 43, 69, 78","Francofurti: Iennis, 1618","Maier, Michael","Tripus Aureus, Hoc est, Tres Tractatus Chymici Selectissimi...",Tripus Aureus,Francofurti / Frankfurt,Iennis,1618
http://diglib.hab.de/drucke/24-1-med/start.htm,24-1-med,"5, 491, 492","Franckfurt am Mayn: Schönwetter, 1647","Croll, Oswald",Hermetischer Probier Stein...,Hermetischer Probier Stein,Franckfurt am Mayn / Frankfurt am Main,Schönwetter,1647
http://diglib.hab.de/drucke/26-8-med-2s/start.htm,26-8-med-2s,"26, 33, 47, 50, 154","Ravennae: Thebaldini, 1582","Rubeus, Hieronymus",Hieronymi Rvbei Ravenn. De Destillatione Liber...,De Destillatione,Ravennae / Ravenna,Thebaldini,1582
http://diglib.hab.de/drucke/29-2-med-2f/start.htm,29-2-med-2f,"9, 768, 769","Straßburg: Zetzner, 1618","Hohenheim, Philippus Theophrastus Bombast von",Chirurgische Bücher und Schrifften...,Chirurgische Bücher,Straßburg / Strasbourg,Zetzner,1618
http://diglib.hab.de/drucke/3-bell/start.htm,3-bell,"100, 117, 131, 132, 133, 137, 139, 194, 199, 202, 213, 215, 223, 232, 233, 234, 238, 249, 250, 266, 347, 349, 350, 352, 353, 360, 361, 362, 363, 364, 389, 390, 391, 394, 395, 397, 398, 400, 402, 403","Paris: Fremy, 1556","Biringuccio, Vannoccio","La Pyrotechnie, Ov Art Dv Fev...",La Pyrotechnie,Paris / Paris,Fremy,1556
http://diglib.hab.de/drucke/30-med-2f-1s/start.htm,30-med-2f-1s,"68, 81, 82, 87, 212, 228","Berlin: Thurneisser, Leonhard, 1576","Thurneysser zum Thurn, Leonhardt",Bebai?sis ag?nismu.|| Das ist Confirmatio Concer...,Confirmatio Concertationis,Berlin / Berlin,"Thurneisser, Leonhard",1576
http://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm,35-1-phys-2f-1s,"51, 61, 62, 63, 64, 66, 68, 70, 74, 75, 78, 80, 82, 87, 88, 94, 96, 102, 108, 112, 125, 128, 132, 133, 136, 156","Franckfurdt am Mayn: Gülfferich, 1551","Ulstadius, Philippus",Coelum Philosophorum. Von heimlichkeit der Natur...,Coelum Philosophorum,Franckfurdt am Mayn / Frankfurt am Main,Gülfferich,1551
http://diglib.hab.de/drucke/38-7-med-1s/start.htm,38-7-med-1s,6,"Lubecae: Schernwebel, 1646","Mynsicht, Adrian von","Hadriani a Mynsicht alias Tribudenii, Germani ...",Thesaurus Et Armamentarium Medico-Chymicum,Lubecae / Lübeck,Schernwebel,1646
http://diglib.hab.de/drucke/416-quod-2s/start.htm,416-quod-2s,"28, 29","[Worms] : [Schöffer], [ca. 1518]",Unknown,Probir büchlin/ vff Golt/ Silber/ Kupfer...,Probirbüchlin,[Worms] / Worms,[Schöffer],1518
http://diglib.hab.de/drucke/46-10-med-1s/start.htm,46-10-med-1s,"113, 114, 125, 147, 148, 149, 270","Basel: König, 1623","Dariot, Claude",Vereinigung der Galenischen und Paracelsischen Artzney:Kunst...,Vereinigung der Artzney:Kunst,Basel / Basel,König,1623
http://diglib.hab.de/drucke/46-2-med-1s/start.htm,46-2-med-1s,3,"Köln: Birckmann, Arnold d.Ä. (Erben), 1567",Theophrastus Paracelsus,"MEDICI LIBELLI, Des hocherfarnesten Herrn THEOPHRASTI PARACELSI...",Medici Libelli,Köln / Cologne,"Birckmann, Arnold d.Ä. (Erben)",1567
http://diglib.hab.de/drucke/46-med-4s/start.htm,46-med-4s,1,"Francofurti: Brius, 1617","Maierus, Michael",Examen Fucorum Pseudo-Chymicorum Detectorum...,Examen Fucorum,Francofurti / Frankfurt,Brius,1617
http://diglib.hab.de/drucke/46-phys-2s/start.htm,46-phys-2s,19,"[Augsburg]: Michelspacher, 1616","Michelspacher, Stephan","Cabala, Speculum Artis Et Naturae, In Alchymia...","Cabala, Speculum Artis",[Augsburg] / Augsburg,Michelspacher,1616
http://diglib.hab.de/drucke/47-phys-2f/start.htm,47-phys-2f,"5, 42, 45, 52, 55, 56, 58, 60, 63, 135",Ğābir Ibn-Ḥaiyān: Das Buoch vonn der Verborgenheyt der Alchimia,Ğābir Ibn-Ḥaiyān,Das buoch geberi Des hochberümpten Phylosophy...,Das buoch geberi,Straßburg / Strasbourg,"Farckall, Amandus",1530
http://diglib.hab.de/drucke/52-med-4s/start.htm,52-med-4s,2,"Oppenheim: Köbel, Jakob, 1518",<Magnus>,LIBER MINERALIum Domini Alberti Magni...,Liber Mineralium,Oppenheim / Oppenheim,"Köbel, Jakob",1518
http://diglib.hab.de/drucke/54-med-1s/start.htm,54-med-1s,"26, 28, 30, 31, 33, 35, 37, 38, 39, 41, 43, 45, 46, 49, 51, 57, 58, 59, 60, 61, 62, 63, 89, 138, 144, 158","Argentorati: Zetzner, 1609","Della Porta, Giambattista","Joannis Baptistae Portae Neapolitani, De Distillationibus, Libri IX...",De Distillationibus,Argentorati / Strasbourg,Zetzner,1609
http://diglib.hab.de/drucke/552-22-quod/start.htm,552-22-quod,"48, 70, 77, 206","Venetia: Cornetti, 1584","Cortese, Isabella",I Secreti Della Signora Isabella Cortese...,I Secreti,Venetia / Venice,Cornetti,1584
http://diglib.hab.de/drucke/74-phys/start.htm,74-phys,"446, 454, 456, 661","Frankfurt/Main: Marne, Claude de und Aubry, Johann, 1591","Della Porta, Giambattista","IO. BAPTISTAE PORTAE NEAPOLITANI, MAGIAE NATURALIS LIBRI VIGINTI...",Magiae Naturalis,Frankfurt/Main / Frankfurt am Main,"Marne, Claude de und Aubry, Johann",1591
http://diglib.hab.de/drucke/89-4-quod-2f-1s/start.htm,89-4-quod-2f-1s,"13, 14, 17, 65","Goudae: Rammazenius, 1638","Fludd, Robert",Philosophia Moysaica...,Philosophia Moysaica,Goudae / Gouda,Rammazenius,1638
http://diglib.hab.de/drucke/95-1-quod-2f-2s/start.htm,95-1-quod-2f-2s,"1, 9, 21, 25, 30, 31, 55, 71, 74, 100, 109, 130, 134, 136, 137, 140, 155, 167, 169, 172, 184, 194, 204, 216, 222, 225, 229, 232, 244, 264, 267","Franckfurt am Mayn: Rhothius, 1623","Ercker, Lazarus",Beschreibung/ Aller furnemisten Mineralischen Ertzt...,Beschreibung der Ertzt,Franckfurt am Mayn / Frankfurt am Main,Rhothius,1623
http://diglib.hab.de/drucke/96-1-phys/start.htm,96-1-phys,"91, 93, 96","Lyon: Rigaud & Michalet, 1658","Béguin, Jean",Les Elemens De Chymie...,Les Elemens De Chymie,Lyon / Lyon,Rigaud & Michalet,1658
http://diglib.hab.de/drucke/hr-424/start.htm,hr-424,349,"Nürnberg: Otto, 1694","Le Lorrain de Vallemont, Pierre",Der Heimliche und unerforschliche Natur-Kündiger...,Natur-Kündiger,Nürnberg / Nuremberg,Otto,1694
http://diglib.hab.de/drucke/li-51/start.htm,li-51,184,"Cologne: le Dispensateur des Secrets, 1706",Unknown,Les Admirables Secrets D'Albert Le Grand...,Secrets D'Albert Le Grand,Cologne / Cologne,le Dispensateur des Secrets,1706
http://diglib.hab.de/drucke/ma-149-1s/start.htm,ma-149-1s,777,"Francofurti: Beyerus, 1647","Sala, Angelus",Angeli Salae Vicentini ... Opera Medico-Chymica...,Opera Medico-Chymica,Francofurti / Frankfurt,Beyerus,1647
http://diglib.hab.de/drucke/mf-12/start.htm,mf-12,5,"Lugduni Batavorum: Maire, 1631","Billichius, Antonius Guntherus",Observationum ac Paradoxorum chymiatricorum Libri Duo...,Observationum chymiatricorum,Lugduni Batavorum / Leiden,Maire,1631
http://diglib.hab.de/drucke/mf-2f-6-2b/start.htm,mf-2f-6-2b,"55, 57, 61, 63, 65, 69, 71, 819, 1145, 1149","Genevae: De Tournes, 1703","Mangetus, Joannes Jacobus",Bibliotheca Pharmaceutico-Medica...,Bibliotheca Pharmaceutico-Medica,Genevae / Geneva,De Tournes,1703
http://diglib.hab.de/drucke/mf-4f-3/start.htm,mf-4f-3,"5, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29, 36, 52, 312","Straßburg: Grüninger, 1528","Brunschweick, Jheronimus",Das nüwe distilier buoch...,Das nüwe distilier buoch,Straßburg / Strasbourg,Grüninger,1528
http://diglib.hab.de/drucke/mf-69-1s/start.htm,mf-69-1s,422,"Franckfurt am Mayn: Beyer, 1641","Kessler, Thomas",Keslerus Redivivus...,Keslerus Redivivus,Franckfurt am Mayn / Frankfurt am Main,Beyer,1641
http://diglib.hab.de/drucke/n-96-4f-helmst-6s/start.htm,n-96-4f-helmst-6s,1,"Straßburg: Knobloch, Johann d.Ä., 1519","Schrick, Michael",VOn den vsz gebrenten wassern...,VOn den vsz gebrenten wassern,Straßburg / Strasbourg,"Knobloch, Johann d.Ä.",1519
http://diglib.hab.de/drucke/na-2f-3-1/start.htm,na-2f-3-1,"7, 335, 339, 417","Amstelodami: Janssonius & Weyerstraten, 1665","Kircherus, Athanasius",Mundus Subterraneus...,Mundus Subterraneus,Amstelodami / Amsterdam,Janssonius & Weyerstraten,1665
http://diglib.hab.de/drucke/na-2f-3-2/start.htm,na-2f-3-2,"199, 454, 457, 458, 462, 525","Amstelodami: Janssonius à Waesberge et Weyerstraet, 1665","Kircherus, Athanasius",Mundi Subterranei Tomus II.us...,Mundi Subterranei Tomus II,Amstelodami / Amsterdam,Janssonius à Waesberge et Weyerstraet,1665
http://diglib.hab.de/drucke/na-2f-4/start.htm,na-2f-4,62,"Franckfurt am Mäyn: Zunner, 1704","Valentini, Michael Bernhard",Museum Museorum...,Museum Museorum,Franckfurt am Mäyn / Frankfurt am Main,Zunner,1704
http://diglib.hab.de/drucke/nd-14-1s/start.htm,nd-14-1s,66,"Franckfurt am Mayn: Bringer, 1613",Unknown,Occulta Philosophia. Von den verborgenen Philosophischen Geheimnussen...,Occulta Philosophia,Franckfurt am Mayn / Frankfurt am Main,Bringer,1613
http://diglib.hab.de/drucke/nd-283-2s/start.htm,nd-283-2s,"162, 176","Wienn: Krauß, 1751","Marsciano, Franciscus Onuphrius de",Der unterwiesene Anfänger in der Chymie...,Der unterwiesene Anfänger,Wienn / Vienna,Krauß,1751
http://diglib.hab.de/drucke/nd-2f-1-1b/start.htm,nd-2f-1-1b,"111, 565, 965, 971, 973, 975, 977, 979, 981, 983, 985, 987, 989","Genevae: De Tournes, 1702","Mangetus, Joannes Jacobus",Bibliotheca Chemica Curiosa...,Bibliotheca Chemica Curiosa I,Genevae / Geneva,De Tournes,1702
http://diglib.hab.de/drucke/nd-2f-1-2b/start.htm,nd-2f-1-2b,"94, 622","Genevae: Tournes, 1702","Mangetus, Joannes Jacobus",Bibliotheca Chemica Curiosa...,Bibliotheca Chemica Curiosa II,Genevae / Geneva,Tournes,1702
http://diglib.hab.de/drucke/nd-351/start.htm,nd-351,6,"Arnstadt: Beumelburg, 1738","Hellwig, Christoph von",Der Curieuse und wohlerfahrne Chymist...,Der Curieuse Chymist,Arnstadt / Arnstadt,Beumelburg,1738
http://diglib.hab.de/drucke/nd-4f-18/start.htm,nd-4f-18,"344, 345, 347, 348, 349, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 373, 374, 375, 376, 377, 378, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 392, 393, 394, 395, 396, 397, 398, 400, 401, 403, 404, 405, 406, 407, 408, 409, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 493, 494, 508, 510, 512, 513, 514, 519, 520, 521, 524, 542, 543, 550, 551, 552, 553, 554, 555, 556, 558, 559, 562, 563, 564, 565, 566, 569, 571, 572, 573, 574, 576, 614, 615, 627","Francofurti: Kopffius, 1606","Libavius, Andreas",Alchymia Andreæ Libavii...,Alchymia,Francofurti / Frankfurt,Kopffius,1606
http://diglib.hab.de/drucke/nd-779/start.htm,nd-779,"99, 102, 115, 174, 242","Franckfurt am Mayn: Jennis, 1625","Spring, Lampert",Dyas Chymica Tripartita...,Dyas Chymica Tripartita,Franckfurt am Mayn / Frankfurt am Main,Jennis,1625
http://diglib.hab.de/drucke/nd-782-1/start.htm,nd-782-1,"922, 934, 938, 942, 946, 950","Lugduni Batavorum: Imhof, 1732","Boerhaave, Hermannus",Elementa Chemiae...,Elementa Chemiae,Lugduni Batavorum / Leiden,Imhof,1732
http://diglib.hab.de/drucke/nd-783/start.htm,nd-783,114,"Marpurgi: Egenolphus, 1614","Hartmann, Johann",Disputationes Chymico-Medicae,Disputationes Chymico-Medicae,Marpurgi / Marburg,Egenolphus,1614
