signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/109-27-med-1s/start.htm,109-27-med-1s,"98, 149, 153, 170, 303, 323, 351, 439, 446",,,,,,
http://diglib.hab.de/drucke/142-3-phys/start.htm,142-3-phys,"36, 38, 39",,,,,,
http://diglib.hab.de/drucke/145-1-phys-2s/start.htm,145-1-phys-2s,15,"Drebbel, Cornelius: Ein kurtzer Tractat von der Natur Der Elementen","Drebbel, Cornelius",Ein kurtzer Tractat von der Natur Der Elementen,,Ein,
http://diglib.hab.de/drucke/153-2-phys/start.htm,153-2-phys,"41, 45, 73, 77, 169, 181, 249","Stoltzius von Stoltzenberg, Daniel: Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat - Francofurti : Jennisius, 1624","Stoltzius von Stoltzenberg, Daniel","Viridarium Chymicum Figuris Cupro In Cisis Adornatum, Et Poeticis picturis illustratum : Ita ut non tantum oculorum & animi recreationem suppeditet, sed & profundiorem rerum naturalium considerationem excitet, adhaec formasua oblonga Amicorum Albo insevire queat",Francofurti,Viridarium,1624
http://diglib.hab.de/drucke/18-phys-2f/start.htm,18-phys-2f,"184, 185, 218, 219",,,,,,
http://diglib.hab.de/drucke/196-quod-1s/start.htm,196-quod-1s,43,,,,,,
http://diglib.hab.de/drucke/218-9-quod-11s/start.htm,218-9-quod-11s,1,,,,,,
http://diglib.hab.de/drucke/218-quod-1s/start.htm,218-quod-1s,"3, 40, 43, 69, 78",,,,,,
http://diglib.hab.de/drucke/24-1-med/start.htm,24-1-med,"5, 491, 492","Croll, Oswald [u. a.]: Hermetischer Probier Stein","Croll, Oswald [u. a.]",Hermetischer Probier Stein,,Hermetischer,
http://diglib.hab.de/drucke/26-8-med-2s/start.htm,26-8-med-2s,"26, 33, 47, 50, 154",,,,,,
http://diglib.hab.de/drucke/29-2-med-2f/start.htm,29-2-med-2f,"9, 768, 769",,,,,,
http://diglib.hab.de/drucke/3-bell/start.htm,3-bell,"100, 117, 131, 132, 133, 137, 139, 194, 199, 202, 213, 215, 223, 232, 233, 234, 238, 249, 250, 266, 347, 349, 350, 352, 353, 360, 361, 362, 363, 364, 389, 390, 391, 394, 395, 397, 398, 400, 402, 403",,,,,,
http://diglib.hab.de/drucke/30-med-2f-1s/start.htm,30-med-2f-1s,"68, 81, 82, 87, 212, 228",,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm,35-1-phys-2f-1s,"51, 61, 62, 63, 64, 66, 68, 70, 74, 75, 78, 80, 82, 87, 88, 94, 96, 102, 108, 112, 125, 128, 132, 133, 136, 156",,,,,,
http://diglib.hab.de/drucke/38-7-med-1s/start.htm,38-7-med-1s,6,,,,,,
http://diglib.hab.de/drucke/416-quod-2s/start.htm,416-quod-2s,"28, 29",,,,,,
http://diglib.hab.de/drucke/46-10-med-1s/start.htm,46-10-med-1s,"113, 114, 125, 147, 148, 149, 270",,,,,,
http://diglib.hab.de/drucke/46-2-med-1s/start.htm,46-2-med-1s,3,,,,,,
http://diglib.hab.de/drucke/46-med-4s/start.htm,46-med-4s,1,"Maierus, Michael: Examen Fucorum Pseudo-Chymicorum","Maierus, Michael",Examen Fucorum Pseudo-Chymicorum,,Examen,
http://diglib.hab.de/drucke/46-phys-2s/start.htm,46-phys-2s,19,,,,,,
http://diglib.hab.de/drucke/47-phys-2f/start.htm,47-phys-2f,"5, 42, 45, 52, 55, 56, 58, 60, 63, 135",Ğābir Ibn-Ḥaiyān: Das Buoch vonn der Verborgenheyt der Alchimia,Ğābir Ibn-Ḥaiyān,Das Buoch vonn der Verborgenheyt der Alchimia,,Das,
http://diglib.hab.de/drucke/52-med-4s/start.htm,52-med-4s,2,,,,,,
